Type,Policy ID,Policy Name,Policy Category ID,Policy Category Name,Policy Target All Computers,Policy Target Computer ID,Policy Target Computer Name,Policy Target Group ID,Policy Target Group Name,Policy Target Group is Smart,Policy Exclusion Computer ID,Policy Exclusion Computer Name,Policy Exclusion Group id,Policy Exclusion Group Name,Policy Exclusion Group is Smart,Policy Package ID,Policy Package Name,Policy Package Category Name,Policy Package Filename,Policy Script ID,Policy Script Name,Policy Script Category Name,Policy Script Filename,Configuration Profile ID,Configuration Profile Name,Configuration Profile Category ID,Configuration Profile Category Name,Configuration Profile Target Computer ID,Configuration Profile Target Computer Name,Configuration Profile Target Group ID,Configuration Profile Target Group Name,Configuration Profile Target Group is Smart,Configuration Profile Exclusion Group id,Configuration Profile Exclusion Group Name,Configuration Profile Exclusion Group is Smart,Policy Scripts ID,Policy Scripts Name
Scripts,20,Apple Updates Check - General Availability,2,"""-Apple""",,,,,,,,,,,,,,,,23,InstallAppleUpdates-1.1,"""-Apple""",InstallAppleUpdates-1.1,,,,,,,,,,,,,,
Policy,22,Adobe Acrobat Reader,45,"""Readers and Viewers""",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Computer Group,22,Adobe Acrobat Reader,45,"""Readers and Viewers""",,,,36,Global-MacMD Computers,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
Packages,22,Adobe Acrobat Reader,45,"""Readers and Viewers""",,,,,,,,,,,,141,AdobeAcrobatReader2017-17.011.30105.pkg,"""-Adobe""",AdobeAcrobatReader2017-17.011.30105.pkg,,,,,,,,,,,,,,,,,,
Policy,23,Adobe Flash Player - Enrollment,10,"""-Enrollment""",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Packages,23,Adobe Flash Player - Enrollment,10,"""-Enrollment""",,,,,,,,,,,,136,AdobeFlashPlayer-31.0.0.153.pkg,"""-Adobe""",AdobeFlashPlayer-31.0.0.153.pkg,,,,,,,,,,,,,,,,,,
Scripts,23,Adobe Flash Player - Enrollment,10,"""-Enrollment""",,,,,,,,,,,,,,,,24,DisableAdobeFlashUpdates-1.0,"""-Adobe""",DisableAdobeFlashUpdates-1.0,,,,,,,,,,,,,,
Policy,24,Flush System-Level Caches,36,"""DIY Support""",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Policy,25,Unlock Network Preferences,36,"""DIY Support""",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Computer Group,25,Unlock Network Preferences,36,"""DIY Support""",,,,36,Global-MacMD Computers,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
Policy,27,Disable User - Enrollment,10,"""-Enrollment""",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scripts,27,Disable User - Enrollment,10,"""-Enrollment""",,,,,,,,,,,,,,,,135,DisableCurrentlyLoggedInUser-1.6,"""-Enrollment""",DisableCurrentlyLoggedInUser-1.6,,,,,,,,,,,,,,
Policy,29,Set Time Server (IMS) - Enrollment,10,"""-Enrollment""",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scripts,29,Set Time Server (IMS) - Enrollment,10,"""-Enrollment""",,,,,,,,,,,,,,,,33,SetTimeServer-1.0,"""-Enrollment""",SetTimeServer-1.0,,,,,,,,,,,,,,
Policy,30,Add Local Administrator (Quintiles) - Enrollment,10,"""-Enrollment""",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scripts,30,Add Local Administrator (Quintiles) - Enrollment,10,"""-Enrollment""",,,,,,,,,,,,,,,,228,AddAdminQuintiles-2.0,"""-Enrollment""",AddAdminQuintiles-2.0,,,,,,,,,,,,,,
Policy,31,Cisco AnyConnect Secure Mobility Client - Enrollment,10,"""-Enrollment""",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Policy,33,Microsoft AutoUpdate - Enrollment,10,"""-Enrollment""",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Packages,33,Microsoft AutoUpdate - Enrollment,10,"""-Enrollment""",,,,,,,,,,,,250,Microsoft_AutoUpdate_4.26.20081000_Updater.pkg,"""-Microsoft""",Microsoft_AutoUpdate_4.26.20081000_Updater.pkg,,,,,,,,,,,,,,,,,,
Policy,34,Box Sync,33,"""Cloud Storage""",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Computer Group,34,Box Sync,33,"""Cloud Storage""",,,,36,Global-MacMD Computers,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
Policy,36,Microsoft Office 2016 - Enrollment,10,"""-Enrollment""",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Packages,36,Microsoft Office 2016 - Enrollment,10,"""-Enrollment""",,,,,,,,,,,,334,Microsoft_Office_16.47.21031401_BusinessPro_Installer.pkg,"""Office Productivity""",Microsoft_Office_16.47.21031401_BusinessPro_Installer.pkg,,,,,,,,,,,,,,,,,,
Policy,37,Apple Updates Support Files - Enrollment,10,"""-Enrollment""",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Packages,37,Apple Updates Support Files - Enrollment,10,"""-Enrollment""",,,,,,,,,,,,20,InstallAppleUpdatesSupportFiles-1.0.pkg,"""-IQVIA""",InstallAppleUpdatesSupportFiles-1.0.pkg,,,,,,,,,,,,,,,,,,
Policy,38,Enrollment Assets,10,"""-Enrollment""",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Packages,38,Enrollment Assets,10,"""-Enrollment""",,,,,,,,,,,,4,EnrollmentAssets-1.0.pkg,"""-IQVIA""",EnrollmentAssets-1.0.pkg,,,,,,,,,,,,,,,,,,
Policy,39,Rename Computer (Quintiles) - Enrollment,10,"""-Enrollment""",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scripts,39,Rename Computer (Quintiles) - Enrollment,10,"""-Enrollment""",,,,,,,,,,,,,,,,229,RenameComputerQuintiles-2.0,"""-Enrollment""",RenameComputerQuintiles-2.0,,,,,,,,,,,,,,
Policy,41,MacMD Computer Configurations - Enrollment,10,"""-Enrollment""",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scripts,41,MacMD Computer Configurations - Enrollment,10,"""-Enrollment""",,,,,,,,,,,,,,,,281,MacMDInitialComputerConfig-3.0,"""-Enrollment""",MacMDInitialComputerConfig-3.0,,,,,,,,,,,,,,
Policy,42,Site List - Enrollment,10,"""-Enrollment""",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scripts,42,Site List - Enrollment,10,"""-Enrollment""",,,,,,,,,,,,,,,,159,Site Manifest-2.0,"""-Enrollment""",Site Manifest-2.0,,,,,,,,,,,,,,
Policy,43,Oracle Java 8 Runtime Deployment Files - General Availability,22,"""-Oracle""",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Computer Group,43,Oracle Java 8 Runtime Deployment Files - General Availability,22,"""-Oracle""",,,,51,Policy-Oracle Java 8 Deployment Files 1.0 General Availability,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
Packages,43,Oracle Java 8 Runtime Deployment Files - General Availability,22,"""-Oracle""",,,,,,,,,,,,63,OracleJava8RuntimeDeploymentFiles.v1.0.pkg,"""-Oracle""",OracleJava8RuntimeDeploymentFiles.v1.0.pkg,,,,,,,,,,,,,,,,,,
Policy,45,Assign This Computer To Me,36,"""DIY Support""",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Computer Group,45,Assign This Computer To Me,36,"""DIY Support""",,,,36,Global-MacMD Computers,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scripts,45,Assign This Computer To Me,36,"""DIY Support""",,,,,,,,,,,,,,,,11,UpdateUserADInfo-1.3,"""-MacMD""",UpdateUserADInfo-1.3,,,,,,,,,,,,,,
Policy,46,What Is My IP Address?,36,"""DIY Support""",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scripts,46,What Is My IP Address?,36,"""DIY Support""",,,,,,,,,,,,,,,,4,DisplayIPAddress-1.1,"""DIY Support""",DisplayIPAddress-1.1,,,,,,,,,,,,,,
Policy,47,Apple Enterprise Connect- Enrollment,10,"""-Enrollment""",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Packages,47,Apple Enterprise Connect- Enrollment,10,"""-Enrollment""",,,,,,,,,,,,165,Enterprise Connect 2.0.5.pkg,"""-Apple""",Enterprise Connect 2.0.5.pkg,,,,,,,,,,,,,,,,,,
Policy,48,Join Domain (IMS) - Enrollment,10,"""-Enrollment""",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scripts,48,Join Domain (IMS) - Enrollment,10,"""-Enrollment""",,,,,,,,,,,,,,,,5,JoinDomainIMS-1.1,"""-Enrollment""",JoinDomainIMS-1.1,,,,,,,,,,,,,,
Policy,49,Reset Outlook Features,36,"""DIY Support""",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Computer Group,49,Reset Outlook Features,36,"""DIY Support""",,,,36,Global-MacMD Computers,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scripts,49,Reset Outlook Features,36,"""DIY Support""",,,,,,,,,,,,,,,,25,Outlook2016forMacFlightResetTool-1.1,"""-Microsoft""",Outlook2016forMacFlightResetTool-1.1,,,,,,,,,,,,,,
Policy,50,Xerox Printer Drivers  - Enrollment,10,"""-Enrollment""",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Packages,50,Xerox Printer Drivers  - Enrollment,10,"""-Enrollment""",,,,,,,,,,,,167,Xerox Print Driver 5.3.0.pkg,"""-Xerox""",Xerox Print Driver 5.3.0.pkg,,,,,,,,,,,,,,,,,,
Policy,52,Tattoo Computer (MacMD) - Enrollment,10,"""-Enrollment""",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scripts,52,Tattoo Computer (MacMD) - Enrollment,10,"""-Enrollment""",,,,,,,,,,,,,,,,113,Tattoo-1.4,"""-Enrollment""",Tattoo-1.4,,,,,,,,,,,,,,
Policy,55,CalDigit Docking Station Utility,41,"""Hardware""",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Computer Group,55,CalDigit Docking Station Utility,41,"""Hardware""",,,,36,Global-MacMD Computers,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
Packages,55,CalDigit Docking Station Utility,41,"""Hardware""",,,,,,,,,,,,8,CalDigitDockingStationUtility-1.9.05.pkg,"""-CalDigit""",CalDigitDockingStationUtility-1.9.05.pkg,,,,,,,,,,,,,,,,,,
Policy,56,Set Time Server - Quintiles Legacy,36,"""DIY Support""",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Computer Group,56,Set Time Server - Quintiles Legacy,36,"""DIY Support""",,,,36,Global-MacMD Computers,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scripts,56,Set Time Server - Quintiles Legacy,36,"""DIY Support""",,,,,,,,,,,,,,,,33,SetTimeServer-1.0,"""-Enrollment""",SetTimeServer-1.0,,,,,,,,,,,,,,
Policy,57,Add Local Administrator (IMS) - Enrollment,10,"""-Enrollment""",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scripts,57,Add Local Administrator (IMS) - Enrollment,10,"""-Enrollment""",,,,,,,,,,,,,,,,42,AddAdminIMS-1.1,"""-Enrollment""",AddAdminIMS-1.1,,,,,,,,,,,,,,
Policy,58,Oracle Java Exception Sites List - General Availability,22,"""-Oracle""",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Computer Group,58,Oracle Java Exception Sites List - General Availability,22,"""-Oracle""",,,,4,Policy-Oracle Java Exception Sites List General Availability,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scripts,58,Oracle Java Exception Sites List - General Availability,22,"""-Oracle""",,,,,,,,,,,,,,,,1,InstallJavaSiteExceptionList-1.0,"""-Oracle""",InstallJavaSiteExceptionList-1.0,,,,,,,,,,,,,,
Policy,60,Apple Updates Check High Sierra - DEV,2,"""-Apple""",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Computer Group,60,Apple Updates Check High Sierra - DEV,2,"""-Apple""",,,,9,Policy-Apple Updates High Sierra DEV,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scripts,60,Apple Updates Check High Sierra - DEV,2,"""-Apple""",,,,,,,,,,,,,,,,23,InstallAppleUpdates-1.1,"""-Apple""",InstallAppleUpdates-1.1,,,,,,,,,,,,,,
Policy,61,User Cert (Quintiles) - Enrollment,10,"""-Enrollment""",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Packages,61,User Cert (Quintiles) - Enrollment,10,"""-Enrollment""",,,,,,,,,,,,27,InstallQUserCert-1.4.pkg,"""-Quintiles""",InstallQUserCert-1.4.pkg,,,,,,,,,,,,,,,,,,
Policy,63,Register MAU,21,"""-Microsoft""",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Computer Group,63,Register MAU,21,"""-Microsoft""",,,,36,Global-MacMD Computers,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scripts,63,Register MAU,21,"""-Microsoft""",,,,,,,,,,,,,,,,26,RegisterMAU-1.0,"""-Microsoft""",RegisterMAU-1.0,,,,,,,,,,,,,,
Policy,65,Apple Enterprise Connect Launch Script (Quintiles.net),2,"""-Apple""",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Computer Group,65,Apple Enterprise Connect Launch Script (Quintiles.net),2,"""-Apple""",,,,46,Policy-Apple Enterprise Connect First Launch (quintiles.net),True,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exclusion Computer Groups,65,Apple Enterprise Connect Launch Script (Quintiles.net),2,"""-Apple""",,,,,,,,,428,ConfigProf-MacMD Catalina Computers above on Quintiles Domain,True,,,,,,,,,,,,,,,,,,,,,,
Scripts,65,Apple Enterprise Connect Launch Script (Quintiles.net),2,"""-Apple""",,,,,,,,,,,,,,,,27,LaunchEnterpriseConnect-1.1,"""-Apple""",LaunchEnterpriseConnect-1.1,,,,,,,,,,,,,,
Policy,67,Create Receipt - Enrollment,10,"""-Enrollment""",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Packages,67,Create Receipt - Enrollment,10,"""-Enrollment""",,,,,,,,,,,,26,(ITST Enrollment Tools 100) Legacy Enrollment Build Receipt,"""(ITST) Enrollment Tools""",Enrollment.pkg,,,,,,,,,,,,,,,,,,
Policy,70,Flush User Caches,36,"""DIY Support""",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Policy,72,Set Time Zone - Enrollment,10,"""-Enrollment""",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scripts,72,Set Time Zone - Enrollment,10,"""-Enrollment""",,,,,,,,,,,,,,,,16,SetTimeZoneEnrollment-1.0,"""-Enrollment""",SetTimeZoneEnrollment-1.0,,,,,,,,,,,,,,
Policy,73,Inventory Computer,36,"""DIY Support""",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Policy,75,Oracle Java 8 Runtime,31,"""Browser Plugins""",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Computer Group,75,Oracle Java 8 Runtime,31,"""Browser Plugins""",,,,36,Global-MacMD Computers,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
Packages,75,Oracle Java 8 Runtime,31,"""Browser Plugins""",,,,,,,,,,,,137,OracleJavaRuntime-1.8.191.pkg,"""-Oracle""",OracleJavaRuntime-1.8.191.pkg,,,,,,,,,,,,,,,,,,
Policy,76,Uninstall Java Runtime,42,"""IT Tools""",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Computer Group,76,Uninstall Java Runtime,42,"""IT Tools""",,,,36,Global-MacMD Computers,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scripts,76,Uninstall Java Runtime,42,"""IT Tools""",,,,,,,,,,,,,,,,21,RemoveJava-1.0,"""-Oracle""",RemoveJava-1.0,,,,,,,,,,,,,,
Policy,77,Move IQVIA-Office to Top of WiFi List,59,"""Test""",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Computers,77,Move IQVIA-Office to Top of WiFi List,59,"""Test""",,2214,INBGL1WLX47614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scripts,77,Move IQVIA-Office to Top of WiFi List,59,"""Test""",,,,,,,,,,,,,,,,31,ReorderQuintilesWiFi-1.0,"""DIY Support""",ReorderQuintilesWiFi-1.0,,,,,,,,,,,,,,
Policy,78,Extensis Universal Type Client 6.0,39,"""Fonts""",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Computer Group,78,Extensis Universal Type Client 6.0,39,"""Fonts""",,,,36,Global-MacMD Computers,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exclusion Computer Groups,78,Extensis Universal Type Client 6.0,39,"""Fonts""",,,,,,,,,339,Global-MacMD Catalina Computers,True,,,,,,,,,,,,,,,,,,,,,,
Packages,78,Extensis Universal Type Client 6.0,39,"""Fonts""",,,,,,,,,,,,3,ExtensisUniversalTypeClient-6.0.0.pkg,"""-Extensis""",ExtensisUniversalTypeClient-6.0.0.pkg,,,,,,,,,,,,,,,,,,
Policy,79,Remove Office Keychain Items,36,"""DIY Support""",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Computer Group,79,Remove Office Keychain Items,36,"""DIY Support""",,,,36,Global-MacMD Computers,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scripts,79,Remove Office Keychain Items,36,"""DIY Support""",,,,,,,,,,,,,,,,8,MicrosoftOffice2016KeychainRemovalTool-1.3,"""-Microsoft""",MicrosoftOffice2016KeychainRemovalTool-1.3,,,,,,,,,,,,,,
Policy,81,Set Firmware Password,20,"""-MacMD""",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Computer Group,81,Set Firmware Password,20,"""-MacMD""",,,,53,Policy-Set Firmware Password,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exclusion Computer Groups,81,Set Firmware Password,20,"""-MacMD""",,,,,,,,,484,Global-MacMD Silicon Chip Macs,True,,,,,,,,,,,,,,,,,,,,,,
Exclusion Computer Groups,81,Set Firmware Password,20,"""-MacMD""",,,,,,,,,71,Static-Policy-Set Firmware Password Exclusions,False,,,,,,,,,,,,,,,,,,,,,,
Policy,84,McAfee Clean Up Tool,42,"""IT Tools""",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Computer Group,84,McAfee Clean Up Tool,42,"""IT Tools""",,,,77,Static-Policy-McAfee Cleanup Tool,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
Packages,84,McAfee Clean Up Tool,42,"""IT Tools""",,,,,,,,,,,,16,McAfeeCleanUpTool-1.0.pkg,"""-McAfee""",McAfeeCleanUpTool-1.0.pkg,,,,,,,,,,,,,,,,,,
Policy,85,Cocoa Dialog - Enrollment,10,"""-Enrollment""",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Packages,85,Cocoa Dialog - Enrollment,10,"""-Enrollment""",,,,,,,,,,,,25,CocoaDialog-2.1.1.pkg,"""-Unknown or Open Source""",CocoaDialog-2.1.1.pkg,,,,,,,,,,,,,,,,,,
Policy,87,Renew Quintiles User Certificate,36,"""DIY Support""",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Computer Group,87,Renew Quintiles User Certificate,36,"""DIY Support""",,,,123,Policy-Renew Quintiles User Certificate General Availability,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
Packages,87,Renew Quintiles User Certificate,36,"""DIY Support""",,,,,,,,,,,,23,ReinstallQUserCert-1.0.pkg,"""-Quintiles""",ReinstallQUserCert-1.0.pkg,,,,,,,,,,,,,,,,,,
Policy,88,GIMP 2.8.22,40,"""Graphics and Multimedia""",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Computer Group,88,GIMP 2.8.22,40,"""Graphics and Multimedia""",,,,36,Global-MacMD Computers,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
Packages,88,GIMP 2.8.22,40,"""Graphics and Multimedia""",,,,,,,,,,,,53,Gimp-2.8.22.pkg,"""-Unknown or Open Source""",Gimp-2.8.22.pkg,,,,,,,,,,,,,,,,,,
Policy,89,Pashua - Enrollment,10,"""-Enrollment""",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exclusion Computer Groups,89,Pashua - Enrollment,10,"""-Enrollment""",,,,,,,,,561,(ITST Enrollment Tools - Smart Group) Global-MacMD Computers New Enrollment Process Computers,True,,,,,,,,,,,,,,,,,,,,,,
Packages,89,Pashua - Enrollment,10,"""-Enrollment""",,,,,,,,,,,,335,Pashua-0.11.pkg,"""-Enrollment""",Pashua-0.11.pkg,,,,,,,,,,,,,,,,,,
Policy,90,Unlock Printers And Scanners Preference Pane,44,"""Printers""",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Computer Group,90,Unlock Printers And Scanners Preference Pane,44,"""Printers""",,,,36,Global-MacMD Computers,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
Policy,93,iRise Reader 11.1.2,40,"""Graphics and Multimedia""",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Computer Group,93,iRise Reader 11.1.2,40,"""Graphics and Multimedia""",,,,36,Global-MacMD Computers,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
Packages,93,iRise Reader 11.1.2,40,"""Graphics and Multimedia""",,,,,,,,,,,,37,iRiseReader-11.1.2.pkg,"""-iRise""",iRiseReader-11.1.2.pkg,,,,,,,,,,,,,,,,,,
Policy,94,Set Firmware Password - Enrollment,10,"""-Enrollment""",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exclusion Computer Groups,94,Set Firmware Password - Enrollment,10,"""-Enrollment""",,,,,,,,,484,Global-MacMD Silicon Chip Macs,True,,,,,,,,,,,,,,,,,,,,,,
Exclusion Computer Groups,94,Set Firmware Password - Enrollment,10,"""-Enrollment""",,,,,,,,,71,Static-Policy-Set Firmware Password Exclusions,False,,,,,,,,,,,,,,,,,,,,,,
Policy,95,Join Domain (Quintiles) - Enrollment,10,"""-Enrollment""",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
